"S.No.","is_soft_skill","is_behavioral_skill","synon_skill","skill_cluster","skill_description","skill_keyword","skill_type","digital_product"
"5304","False","False","YAML Aint Markup Language","Programming Languages and Algorithms","YAML Aint Markup Language is a data-serialization language used in configuration files and programs that store or transfer data.","yaml aint markup language;yaml language;yaml programming language;yaml programming","",""
"5305","False","False","Salesforce","Customer Relationship Management","Salesforce is a cloud-based software firm that offers customer relationship management services as well as a complementary range of business solutions centred on customer support, marketing integration, analytics, and application creation.","salesforce strategy;salesforce (service cloud );salesforce crm;salesforce data loader;salesforce.com;einstein analytics;salesforce marketing cloud;salesforce einstein analytics;salesforce.com administration;salesforce service cloud;salesforce;salesforce cpq","",""
"5306","False","False","Microsoft Nslookup","Network Management & Administration","Microsoft Nslookup is a command-line tool that can be used to evaluate and troubleshoot DNS servers.","nslookup;microsoft nslookup","",""
"5307","False","False","Customer Retention Management","Customer Relationship Management","Customer Retention Management is the method of controlling the organization's customer service and satisfaction activities, with the end aim of retaining the customers retain for as long as possible.","customer retention strategy;customer retention management","",""
"5308","False","False","Global Marketing Management","Marketing & Web Analytics","Global Marketing Management is the process of developing an international strategy centred on product, price, promotion, and distribution.","global marketing management;global marketing;customizing global marketing;global marketing strategy","",""
"5309","False","False","Employee Relations Management","Human Resource Operations ","Employee Relations Management is the process of managing relationships in an organisation, these relationships can be between the organisation and employees as well as coworkers working at the same level.","employee relationship management;employee relations management;employee relations","",""
"5310","False","False","Quality Risk Management","Quality Management","Quality Risk Management is a structured method for assessing, controlling, communicating and reviewing risks to product quality during the product life cycle.","quality risk assessment;quality risk management","",""
"5311","False","False","Employee Onboarding","Human Resource Operations ","Employee Onboarding is the method of introducing new workers to the social and performance facets of their new workplace with the aim of rapidly adjusting new hires increasing efficiency and job satisfaction and decreasing turnover.","employee onboarding;employee onboarding process;employee onboarding process template;employee onboarding checklist","",""
"5312","False","False","Dalet Application Programme Interface (Api)","Software Development","Dalet Application Programme Interface (Api) exposes capabilities from the software's Enterprise edition. Importing, modifying, and exporting media and metadata, media management activities such as conversions and transfers, task management activities such as notifications and assignments, and more are all part of this functionality.","dalet api;dalet application programme interface (api);dalet application programme interface;dalet system","",""
"5313","False","False","Amazon Lex","Cloud Deployment, Scaling And Management","Amazon Lex is a service that allows to integrate voice and text-based conversational interfaces into any programme.","amazon lex;amazon lex chatbot;amazon lex aws","",""
"5314","False","False","Data Analysis Expressions (DAX)","Data Engineering And Analytics","Data Analysis Expressions (Dax) is a library of functions and operators that can be combined to create formulas and expressions in Excel data models using Power BI, Analysis Services, and Power Pivot.","data analysis expressions;data analysis expressions (dax);power bi dax","",""
"5315","False","False","Predictive Analysis","Statistical & Mathematical Modelling","Predictive Analysis is a subset of advanced analytics that is used to forecast uncertain future events and analyses existing data to make predictions about the future using techniques from data mining, statistics, modelling, machine learning, and artificial intelligence.","predictive analysis","",""
"5316","False","False","Adobe Dynamic Tag Management (DTM)","Cloud Deployment, Scaling And Management","Adobe Dynamic Tag Management (DTM) is the method for capturing and sharing data through digital marketing platforms and allows advertisers to handle tags.","adobe dynamic tag management;adobe dtm","",""
"5317","False","False","Antenna Design","Telecommunication","Antenna Design specifies how to send and receive radio waves in all horizontal directions equally, or preferentially in one.","antenna design","",""
"5318","False","False","Business Support System (BSS)","Telecommunication","Business Support System (BSS) are the elements that a telecommunications service provider employs to operate its business operations towards customers.","business support systems;bss;business support system (bss);business support system;business support systems (bss)","",""
"5319","False","False","Call Scripting","Functional Skills","Call Scripting is the activity of creating a written script that contains the vocabulary, conversational logic, and conversational flowcharts that an agent must follow when conversing with a client and reacting to their numerous inquiries and replies.","callscript;callscripting;call scripting;call scripting quizlet","",""
"5320","False","False","CAN bus","Network Management & Administration","CAN bus stands for Controller Area Network bus, is a strong vehicle bus standard that allows microcontrollers and devices to communicate with each other's applications without the need for a host computer.","canbus;bus protocols;can bus","",""
"5321","False","False","Candle Stick Analysis","Statistical & Mathematical Modelling","Candle Stick Analysis is a form of price chart used in technical analysis that shows the high, low, open, and closing values of securities during a given period.","candle stick analysis;candlestick chart analysis;candlestick patterns","",""
"5322","False","False","Capability Maturity Model Integration (CMMI)","Business Management","Capability Maturity Model Integration (CMMI) is a training and evaluation programme for process level development.","capability maturity model integration (cmmi);capability maturity model integration;cmmi maturity model","",""
"5323","False","False","Cartography","Spatial Analysis & Geographic Information Systems","Cartography is the art and science of visually portraying a geographical area, often on a flat surface like a map or chart. It may include superimposing political, cultural, or other nongeographical divides onto a geographical depiction.","cartography","",""
"5324","False","False","Cascade Analysis","Water & Effluent Treatment","Cascade Analysis is meant to provide answers to major policy problems concerning cascades. It is a method of utilizing accessible data in a smart, custom-made model designed to answer the issues that are most important to decision-makers.","cascade analysis;cascade amplifier analysis;cascade analysis tool","",""
"5325","False","False","Case Spec","Business Management","CASE Spec is an enterprise solution for system specification, requirements tracking, analysis, verification, and validation.","case spec;casespec software;casespec goda","",""
"5326","False","False","Cassandra","Database Skills","Cassandra is a distributed, wide-column store, Nosql database management system that is free and open-source. It is meant to handle massive volumes of data across many commodity servers while maintaining high availability with no single point of failure.","apache cassandra;cassandra","",""
"5327","False","False","CES Edupack","Learning & Development (L&D)","CES EduPack is the most comprehensive teaching resource for the engineering, technology, processing, and design materials.","ces;ces edupack","",""
"5328","False","False","ChemCAD","Computer-Aided Design and Simulation","ChemCAD is a software suite for simulating chemical processes. It has a library of thousands of components for gases, liquids, solids, and electrolytes and allows users to simulate processes in chemical, petrochemical, pharmaceutical, and thermodynamic models.","chemcad;chem cad;chemcad simulation","",""
"5329","False","False","Cisco Telepresence","Enterprise Productivity","Cisco Telepresence provides an in-person communication video technology without geographic barriers.","cisco telepresence management suite;cisco telepresence","",""
"5330","False","False","Client/Server","Operating Systems","Client/Server refers to a partnership between cooperating programmes in an application, with clients requesting services and servers fulfilling those requests.","client-server;clients/servers;client/server;clientserver;client/servers;client servers;client server","",""
"5331","False","False","Clinical Decision Making","Clinical Research and Development","Clinical Decision Making is a contextual, continuous, and changing process in which data is collected, interpreted, and evaluated in order to choose an evidence-based course of action.","clinical decision support","",""
"5332","False","False","Control Objectives for Information and Related Technologies (COBIT)","IT Management/ Governance","Control Objectives for Information and Related Technologies (COBIT) is a framework designed to assist businesses in developing, implementing, monitoring, and improving IT governance and information management.","cobit;cobit framework;control objectives for information and related technologies","",""
"5333","False","False","Commercial Sales","Sales Skills","Commercial Sales refers to the selling of a product in the course of commerce, whether at retail or wholesale, and includes sales through the internet.","commercial sales","",""
"5334","False","False","Computational Genomics","Clinical Research and Development","Computational Genomics is the application of computational and statistical methods to deduce biology from genome sequences and related data, such as DNA and RNA sequences, as well as other ""post-genomic"" information.","computational genomics;computational genetics;computational genetics and genomics","",""
"5335","False","False","Configure Price Quote (CPQ) Software","Business Management","Configure Price Quote (CPQ) Software assists businesses in accurately defining the price of products across a vast and continuously evolving range of variables.","configure price quote software;cpq;configure price quote (cpq);configure price quote (cpq) software","",""
"5336","False","False","Containerization","Operating Systems","Containerization is a type of operating system virtualization in which programmes are operated in segregated user areas called containers while sharing the same operating system.","containerisation;containerization","",""
"5337","False","False","Credit Reporting","Asset Management","Credit Reporting is a statement contains information about personal credit activity and current credit circumstances, such as loan repayment history and credit account status.","credit reporting","",""
"5338","False","False","Crontab","Software Documentation","Crontab refers to a list of commands that users' wish to perform on a regular basis, as well as the name of the programme used to manage that list.","crontab","",""
"5339","False","False","Cross-Origin Resource Sharing (CORS)","Web Development","Cross-Origin Resource Sharing (CORS) is an HTTP header-based mechanism that allows a server to specify any origin other than its own from which a browser can allow resource loading.","cross-origin resource sharing;cross-origin resource sharing (cors);cors","",""
"5340","False","False","Cross-platform Development","Software Development","Cross-platform Development is a process involving designing a single application that can run on several operating systems rather than creating separate software versions for each platform.","cross platform development;cross-platform development;cross platform and mobile development","",""
"5341","False","False","CSS Flexbox","UI Frameworks","CSS Flexbox stands for CSS Flexible Box, is a web layout model introduced in CSS 3.","css flexbox;flexbox","",""
"5342","False","False","Curam","Clinical Research and Development","Curam is a social program management platform which provides technology solutions to health and social components.","curam","",""
"5343","False","False","Cybersecurity Incident Response","Cybersecurity","Cybersecurity Incident Response is a series of instructions designed to assist businesses in preparing for, detecting, responding to, and recovering from network security problems.","cyber security incident response;incident response;csirt;cybersecurity incident response","",""
"5344","False","False","Deep Learning","AI/ML","Deep Learning is kind of a machine learning in which artificial neural networks, which are inspired by the human brain, learn from massive quantities of data.","deep learning","",""
"5345","False","False","Deep Neural Networks (DNN)","AI/ML","Deep Neural Networks (DNN) is an Artificial Neural Network (ANN) with several layers between the input and output layers.","deep neural networks;deep neural networks (dnn)","",""
"5346","False","False","Economic Statistics","Statistical & Mathematical Modelling","Economic Statistics is a subfield of applied statistics concerned with the collection, sorting, compilation, dissemination, and analysis of economic data.","economic statistics;statistics economics","",""
"5347","False","False","Ehcache","Database Skills","Ehcache is a standards-based open source cache that improves performance, offloads your database, and makes scalability easier.","ehcache","",""
"5348","False","False","Endeca","Database Skills","Endeca is a search-analytical hybrid database. It combines complicated and heterogeneous data from multiple source systems into a flexible data model, reducing the requirement for upfront modelling.","endeca","",""
"5349","False","False","Filter Design","Signal Processing","Filter Design is the process of creating a signal processing filter that meets a set of requirements, some of which may be contradictory.  The goal is to discover a filter realization that fits all of the conditions to a sufficient degree to be helpful.","filter design","",""
"5350","False","False","Financial Data Management (FDM)","Wealth Management & Advisory","Financial Data Management (FDM) is a collection of processes and policies that allow an entity to aggregate its financial data, maintain compliance with accounting rules and laws, and generate comprehensive financial reports, typically with the help of specialised software.","fdm;financial data management (fdm)","",""
"5351","False","False","Fit/Gap Analysis","Business Management","Fit/Gap Analysis determines where gaps in functionality exist when we compare operating or business requirements for the organization to system capabilities. It is used to evaluate each functional area in a business project or business process to achieve a specific goal.","fit/gap analysis;fit gap analysis","",""
"5352","False","False","Frame Relay","Network Management & Administration","Frame Relay is a standardised wide area network technology that uses packet switching to specify the physical and data connection levels of digital telecommunications channels.","frame relay;framerelay","",""
"5353","False","False","Functional Verification","Electronic Systems Design","Functional Verification is the role of ensuring that the logic design meets the specifications of electronic design automation.","functional verification","",""
"5354","False","False","Gerrit","Web Development","Gerrit is a free, web-based code collaboration tool for teams. A team of software engineers can use a web browser to accept or reject each other's revisions to their source code. It is tightly integrated with Git, a distributed version control system.","gerrit","",""
"5355","False","False","Google Adwords Professional","Marketing & Web Analytics","Google Adwords Professional act as a guide for user's paid advertisements on Google, where all search traffic on Google, as well as Google's partner sites, will send a constant stream of highly motivated customers to users company.","google adwords professional;google adwords;adwords","",""
"5356","False","False","Google BigQuery","Data Engineering And Analytics","Google BigQuery is a serverless, completely managed data warehouse that allows for scalable analysis of petabytes of data.","bigquery;big query;google bigquery","",""
"5357","False","False","Grant Management","Functional Skills","Grant Management is a procedure that assists ngos with grant administration by prioritising and processing grant applications.","grant management","",""
"5358","False","False","High-Speed Uplink Packet Access (HSUPA)","Telecommunication","High-Speed Uplink Packet Access (HSUPA) is a 3G mobile telephony protocol that was designed to enhance the uplink data rate to 5.76 Mbit/s.","high speed uplink packet access;hsupa network systems;hsupa software;high-speed uplink packet access (hsupa)","",""
"5359","False","False","Identity & Access Management (IAM)","Cybersecurity","Identity & Access Management (IAM) is a set of rules and technologies designed to guarantee that the correct users those linked to or inside an enterprise's ecosystem have acceptable access to technological resources.","identity and access management(iam);identity and access management;iam;identity & access management;identity & access management (iam);access management;identity and access management (iam)","",""
"5360","False","False","Inbound Marketing","Sales Skills","Inbound Marketing is a company strategy that draws consumers by delivering relevant information and experiences that are targeted to their specific needs.","inbound marketing","",""
"5361","False","False","Incident Management","IT Management/ Governance","Incident Management is the process by which devops and information technology operations teams respond to an unanticipated occurrence or service outage and return the service to operational status.","incident management;incident management system;incident management(icm)","",""
"5362","False","False","Industrial Design","Product Management","Industrial Design is a strategic problem-solving process that drives innovation, builds business success, and leads to a better quality of life through innovative products, systems, services, and experiences.","industrial design","",""
"5363","False","False","Infrastructure as a Service (IaaS)","Infrastructure as a Service (IaaS)","Infrastructure as a Service (IaaS) is a form of internet-based computing infrastructure that can be provisioned and controlled instantly.","iaas;cloud iaas;infrastructure as a service;infrastructure as a service (iaas)","",""
"5364","False","False","Intrusion Detection","Network Security","Intrusion Detection is a system that analyses network traffic for unusual behaviour and sends notifications when it detects it. It is a software programme that analyses a network or system for malicious activities or policy violations.","intrusion detection;intrusion detection system;intrution detection;intrusion detectionsystem (ids)","",""
"5365","False","False","iProcurement","Supply Chain Management","iProcurement is a web-based form used in the oracle human resources and finance administration system to make purchase order requisitions.","iprocurement","",""
"5366","False","False","IPSec","Network Security","Internet Protocol Security (IPsec) is a secure network protocol suite that authenticates and encrypts data packets to enable safe encrypted communication between two computers connected by an Internet Protocol network. It is commonly used in virtual private networks.","ipsec","",""
"5367","False","False","IPv6","Network Security","IPv6 also known as internet protocol version 6 is the most recent version of communications protocol that offers a mechanism for identifying and locating machines on networks and routing data over the internet.","ipv6","",""
"5368","False","False","IQMS Software","ERP Systems","IQMS Software combines enterprise resource planning and manufacturing execution system functionality to give manufacturers an end-to-end suite for running the business, backed by the real-time performance and scalability companies demand.","iqms","",""
"5369","False","False","JavaBeans","Software Development","JavaBeans is a software component that can be manipulated by visual. It encapsulate one or more objects into a single standardized object.","java beans;javabeans","",""
"5370","False","False","Labor Relations","Human Resource Operations ","Labor Relations is the term to describe the process through which employers and employees, as well as management and unions, make decisions in companies.","labour relations;labor relations;industrial relations","",""
"5371","False","False","Ladder Logic","Programmable Logic Controllers (PLC)","Ladder Logic was a textual method for documenting the design and construction of relay racks used in manufacturing and process control.","ladder logic","",""
"5372","False","False","Lean UX","Agile/Scrum Methodologies","Lean UX is a way of thinking, a culture, and a methodology that embraces lean agile approaches. It implements functionality in the smallest possible steps and measures success by comparing outcomes to a benefit hypothesis.","lean ux","",""
"5373","False","False","LoadUI","Software Quality/Testing","LoadUI is a load testing programme designed primarily for online applications. It runs on windows, linux, and mac os. It enables users to evaluate the speed and scalability of APIs, as well as preview API performance behaviors before to deploying them to production settings.","loadui","",""
"5374","False","False","Logistic Regression","Statistical & Mathematical Modelling","Logistic Regression is a statistical model that utilises a logistic function to represent a binary dependent variable in its most basic form, however many more advanced extensions exist.","logistic regression","",""
"5375","False","False","Lyophilization","Chemical Engineering","Lyophilization is a water removal procedure that is commonly used to preserve perishable products, increase shelf life, or make the substance more transportable.","lyophilization","",""
"5376","False","False","Mapper","Spatial Analysis & Geographic Information Systems","Mapper is a reduced, consumer geographic information system tool that provides access to an unrivalled number of geographical datasets and just the appropriate degree of functionality to satisfy both seasoned geographic information system experts and novice users.","mapper;global mapper","",""
"5377","False","False","Marine Operations","Logistics Management","Marine Operations is responsible for the safe and seamless loading and unloading of large cargos on time, under budget, and in accordance with the project scope requirements.","marine operations","",""
"5378","False","False","Market Development","Market Research","Market Development is a business approach in which a company seeks out new groups of consumers to serve as potential clients for its present products and services.","market development;development marketing;business development marketing;marketing business development","",""
"5379","False","False","Material Requirements Planning (MRP)","Supply Chain Management","Material Requirements Planning (MRP) framework is a production planning and decision-making mechanism that compares existing inventory levels to production capacity and the need to produce products based on forecasts.","material requirements planning(mrp) strategy;mrp;materials requirements planning;material requirements planning(mrp);material requirements planning (mrp);material requirements planning","",""
"5380","False","False","Mechanical Assembly","Assembly Line","Mechanical Assembly is the process of assembling components on a production line. It also refers to an assembled product or part created in this manner.","assembly tool design;machinery assembly;mechanical assembly","",""
"5381","False","False","Mechanical Product Design","Product Management","Mechanical Product Design is the cycle by which assets or energy is changed over into helpful mechanical structures, or the instruments to get valuable yield from the machines in the ideal structure.","mechanical product design","",""
"5382","False","False","Mergers & Acquisitions (M&A)","Wealth Management & Advisory","Mergers & Acquisitions (M&A) is a broad phrase that refers to the consolidation of firms or assets through a variety of financial transactions such as mergers, acquisitions, consolidations, tender offers, asset purchases, and management acquisitions.","mergers & acquisitions (m&a);mergers and acquisitions;mergers and acquisitions finance","",""
"5383","False","False","Microarray Analysis","Clinical Research and Development","Microarray Analysis is a method that makes use of gene chips to which thousands of different mRNAs can bind and be quantified.","microarray analysis;microarray analysis techniques;microarray analysis test","",""
"5384","False","False","Microsoft Dynamics 365","Enterprise Productivity","Microsoft Dynamics 365 is a cloud-based business applications platform that incorporates customer relationship management and enterprise resource planning components, as well as productivity apps and artificial intelligence features.","microsoft dynamics 365;dynamics 365","",""
"5385","False","False","Microsoft Word","Enterprise Productivity","Microsoft Word is a word processing software developed by microsoft. It is the mainstream technology for document creation. It also gives users strong features to help them write more efficiently and effectively.","msword;ms word;microsoft word","",""
"5386","False","False","Middle Office Operations","Business Management","Middle Office Operations are the functions involved with the administration of information in the company's possession, as well as overseeing the dissemination of that knowledge throughout the whole firm.","middle office operations","",""
"5387","False","False","Mortgage Servicing","Retail & Corporate Banking ","Mortgage Servicing is the act of collecting mortgage payments from homeowners and remitting them to investors, tax authorities, and insurers, frequently through escrow accounts.","mortgage servicing;mortgage servicer;mortgage services","",""
"5388","False","False","Mortgage-Backed Security (MBS)","Retail & Corporate Banking ","Mortgage-Backed Security (MBS) is an asset-backed investment that is backed by a mortgage or a group of mortgages.","mortgage-backed security;mortgage-backed security (mbs);mbs;mortgage backed security;mortgage backed security (mbs)","",""
"5389","False","False","MSTest","Software Quality/Testing","MSTest is a leading open-source test framework that is included with the visual studio integrated development environment. It is also known as the unit testing framework that allows testing the code without the need for a third-party tool.","mstest","",""
"5390","False","False","Multiload","Database Skills","Multiload for windows is a cutting-edge loading software system to perform complicated and time-consuming ship loading calculations. It is one of the most efficient and user-friendly international shipping packages.","multiload","",""
"5391","False","False","Multiplexing","Telecommunication","Multiplexing is a technology that allows numerous communication signals to be combined in order to travel an otherwise single signal communication medium at the same time.","multiplexing;muxing","",""
"5392","False","False","Network Optimization","Network Management & Administration","Network optimization is the group of technologies, tools and techniques that helps in maintaining, improving or maximizing the performance across all network domains","network optimization","",""
"5393","False","False","Network Performance","Network Management & Administration","Network Performance is defined as the study and examination of collective network statistics in order to determine the quality of services delivered by the underlying computer network largely assessed from the perspective of the end-user.","network performance","",""
"5394","False","False","Neuromarketing","Marketing & Web Analytics","Neuromarketing refers to the monitoring of physiological and brain signals to obtain insight into consumers' motives, preferences, and decisions, which may then be used to inform creative advertising, product development, pricing, and other marketing sectors.","neuromarketing;neuromarketing quizlet;neuromarketing research;neuro marketing","",""
"5395","False","False","NIST Cybersecurity Framework","Cybersecurity","NIST Cybersecurity Framework is a resource for organising and improving the cybersecurity programme. It is a set of standards and best practises designed to assist companies in developing and improving their cybersecurity posture.","nist;nist cybersecurity framework;nist csf","",""
"5396","False","False","Offshore Drilling","Civil Engineering","Offshore Drilling is a mechanical procedure that involves drilling a wellbore underneath the seabed.","offshore drilling","",""
"5397","False","False","Operational Data Stores","Data Engineering And Analytics","Operational Data Stores is a central database that offers a snapshot of the most recent data from several transactional systems for operational reporting.  It allows enterprises to aggregate data in its native format from several sources into a single destination for business reporting.","operational data stores (ods);operational data stores","",""
"5398","False","False","Optical Transport Network (OTN)","Fiber Optics","Optical Transport Network (OTN) is defined as a collection of Optical Network Elements linked by optical fibre links and capable of transporting, multiplexing, switching, management, supervision, and survivability of optical channels carrying client signals.","otn;optical transport network;optical transport;optical transport network (otn)","",""
"5399","False","False","PDMLink","Data Engineering And Analytics","PDMLink is a web-based, industry-proven product data management system that helps geographically distributed teams handle important activities including content, modification, and configuration management.","pdmlink","",""
"5400","False","False","Pixi.js","JavaScript & Associated Libraries","Pixi.js is a rendering framework that make it possible to create rich, interactive visuals, cross-platform apps, and games without having to learn the web graphics library application programming interface, or worry about browser and device compatibility. It was formerly used to create animated websites and hypertext markup language games.","pixi;pixi.js;pixi js;pixijs","",""
"5401","False","False","PostgreSQL","Database Skills","PostgreSQL is a relational database management system structured query language that emphasises flexibility and structured query language conformance. Many online, mobile, GIS, and analytics applications utilise it as their primary data storage or data warehouse.","postgressql;postgres;postgre;postresql;postgress;psql;postgresql","",""
"5402","False","False","PowerCenter","Data Engineering And Analytics","PowerCenter is a cloud-based corporate data integration tool that assists companies with the data integration life cycle. Organizations may manage data integration agility, enterprise scalability, operational confidence, and data integration projects using the platform.","power center;powercenter","",""
"5403","False","False","Pricing Agreements","Legal Services","Pricing Agreements is a pre-agreement between a taxpayer and a tax authority on an acceptable transfer pricing methodology for a certain set of transactions over a specified time period.","pricing agreements","",""
"5404","False","False","Printed Circuit Board (PCB) Design","Semiconductor & Embedded Systems","Printed circuit board (PCB) design is a software that brings the electronic circuits to life in the physical form, it combines component placement and routing to define electrical connectivity on a manufactured circuit board.","printed circuit board design;board design;pcb design","",""
"5405","False","False","Production Part Approval Process (PPAP)","Good Manufacturing Practices (GMP)","Production Part Approval Process (PPAP) is a systematic process in the automobile and aerospace industries that assists producers and vendors in communicating and approving production designs and processes prior to, during, and after produce.","production part approval process (ppap);ppap;production part approval process","",""
"5406","False","False","Project Analysis","Project Management","Project Analysis is the assessment of every expense or problem related to a project, prior to the commencement of work on it. It may be used to determine the economic or engineering viability of road investment projects by doing a lifetime study of pavement performance, maintenance, and/or enhancement impacts, as well as road user cost estimates.","project analysis;project risk analysis;project network analysis","",""
"5407","False","False","Project Integration Management","Project Management","Project Integration Management is a method of making diverse processes function together by taking the multiple processes utilised in a project and ensuring that they are coordinated.","project integration;project integration management;art integration project;data integration project","",""
"5408","False","False","Purchasing Negotiation","Supply Chain Management","Purchasing Negotiation is the process of negotiating while purchasing, which leads to price reduction by the vendors by finding a common ground on issues of mutual interest.","purchase negotiation;purchasing negotiation;negotiate purchase","",""
"5409","False","False","Qlik Sense","Data Engineering And Analytics","Qlik Sense is a modern data analytics platform that enables users to develop visualizations, charts, interactive dashboards, and analytics apps for local and offline consumption.","qliksense;qlik sense;qlicksense","",""
"5410","False","False","Query/400","Database Skills","Query/400 is an international business machines licensed software tool that provides ad hoc reporting features to the DB2/400 database. It's a query tool with a menu that generates interactive reports that may be shown on the screen, printed, or exported as separate databases.","query/400;db2 400;query 400","",""
"5411","False","False","Requirements Elicitation","Business Management","Requirements Elicitation is the activity of studying and finding system needs from users, customers, and other stakeholders.","requirements elicitation","",""
"5412","False","False","Retirement Planning","Wealth Management & Advisory","Retirement Planning refers to financial techniques for saving, investing, and eventually distributing money in order to support oneself during retirement.","retirement planning","",""
"5413","False","False","RunDeck","Software Development","Rundeck is a software that modernizes operations by allowing a broader number of people even those outside of traditional operations boundaries to have secure and safe self-service access to operations tasks.","rundeck","",""
"5414","False","False","Sales Administration","Sales Skills","Sales Administration is the process of employing, training, and motivating sales personnel, as well as coordinating activities throughout the sales department and developing a unified sales plan that produces corporate revenue.","sales administration","",""
"5415","False","False","System Center Service Manager (SCSM)","IT Management/ Governance","Microsoft System Center Service Manager (SCSM) is an integrated platform for automating and adapting best practises in information technology service management. It includes built-in procedures for incident and issue resolution, change control, and asset lifecycle management.","system center service manager;microsoft scsm;scsm","",""
"5416","False","False","Server Maintenance","IT Management/ Governance","Server Maintenance is the process of keeping the server up to date and functioning in order to keep the organization's computer network running properly.","server maintenance","",""
"5417","False","False","Space Management","Functional Skills","Space Management is the administration, control, and supervision of the physical places that a company occupies.It is a multi-step process that includes data collection, analysis, forecasting, and planning  this entails developing a space management system that detects floor layouts and inhabitants across the firm.","space management","",""
"5418","False","False","Specman","Electronic Systems Design","Specman is a data exploration tool that offers sophisticated automated functional verification of hardware designs. It offers a platform for developing, building, and debugging testbench environments defined in the e hardware verification language.","specman","",""
"5419","False","False","Sputtering","Chemical Engineering","Sputtering is a phenomena in which small particles of a solid substance are expelled off its surface when the material is attacked by intense plasma or gas particles.","sputter;sputtering","",""
"5420","False","False","SQL Power Tools","Database Skills","SQL Power Tools are used to manage the database. It gives users a general view of their database’s performance. It offers data logging of source and destination internet protocol, great security features, which can help prevent devops attacks, phishing email attacks, and more.","sql power tools","",""
"5421","False","False","Static Random Access Memory (SRAM)","Semiconductor & Embedded Systems","Static Random Access Memory (SRAM) is a type of random-access memory in which data is stored in a static format. It uses two cross-coupled inverters to store a bit of data on four transistors.","sram;static random access memory","",""
"5422","False","False","Staff Augmentation","Human Resource Operations ","Staff Augmentation is an outsourcing approach used to staff a project while meeting corporate objectives. The approach entails assessing the existing workforce and identifying which extra skills are necessary.","staff augmentation","",""
"5423","False","False","Star Schema","Data Engineering And Analytics","Star Schema is a database organisational style suited for usage in a data warehouse or business intelligence that stores transactional or measurable data in a single big fact table and characteristics about the data in one or more smaller dimensional tables.","star schemas;star schema;starschema","",""
"5424","False","False","Storage Architecture","Network Management & Administration","Storage Architecture refers to a network's physical and conceptual architecture that allows data flow between storage devices and servers.","storage architecture","",""
"5425","False","False","Systems Management","IT Management/ Governance","Systems Management is the centralised administration of an organization's information technology. The notion encompasses a wide range of subsystems required for the monitoring and management of information technology systems.","systems management","",""
"5426","False","False","Ultrasonic Testing","Software Quality/Testing","Ultrasonic Testing is a non-destructive test method that detects fractures and faults in components and materials by using sound waves. It may also be used to determine the thickness of a material, such as the wall thickness of a pipe.","ultrasonic testing (ut);ultrasonic testing machine;shear wave ultrasonic testing;scan ultrasonic testing;ultrasonic testing","",""
"5427","False","False","User Controls","Cloud Deployment, Scaling And Management","User Controls are containers into which markup and web server controls combine and then treat as a unit, also gives properties and methods for it.","user control;user control asp.net; web user control","",""
"5428","False","False","User Provisioning","UI/UX","User Provisioning is a system that creates, updates, disables, and deletes user accounts and profiles acrossinformation technology infrastructure and business applications.","user account provisioning;user provisioning","",""
"5429","False","False","Value Stream Maps","Good Manufacturing Practices (GMP)","Value Stream Maps is a flowchart approach for illustrating, analyzing, and improving the procedures required to deliver a product or service.","value stream map;value stream mapping","",""
"5430","False","False","VMWare ESXi","Containers & Virtualization","VMWare ESXi refers to enterprise-class, type-1 hypervisor designed for deploying and serving virtual machines in enterprise environments.","vmware esxi;powercli","",""
"5431","False","False","Web Content Management","Content Management","Web Content Management is the process of creating, managing, storing, and displaying content on websites.","wcm;web content management","",""
"5432","False","False","Windows Server","Operating Systems","Windows Server enables numerous users to share resources while also providing extensive administrative control over data storage, programmes, and corporate networks.","windows server 2016;windows server 2003;microsoft windows server;server windows;microsoft windows server 2012;microsoft windows server 2008;windows server;microsoft windows server administration;microsoft windows server 2003;windows server administration;microsoft windows servers;server 2012 r2;server microsoft;microsoft windows server 2008 r2","",""
"5433","False","False","Winsock","Software Development","Winsock is a programming interface and the supporting software in the windows operating system that handles input or output requests for internet applications. It allows windows network apps and network services to connect with one another.","winsock software;winsock reset; winsock windows application;windows sockets;windows sockets (winsock)","",""
"5434","False","False","XACML","Programming Languages and Algorithms","XACML is an abbreviation for eXtensible access control markup language. The standard specifies a declarative fine-grained, attribute-based access control policy language, an architecture, and a processing model for evaluating access requests by policy rules.","xacml;extensible access control markup language","",""
"5435","False","False","ZenCart","E-Commerce Systems","Zen Cart genuinely embodies the art of e-commerce; it is a free, user-friendly, open source shopping cart software. The ecommerce web site design programme was created by a group of like-minded business owners, programmers, designers, and consultants who believe that ecommerce web design can and should be done differently.","zencart;zen cart;zen cart support;zencart templates;zen cart themes","",""
"5436","False","False","Customer Experience Management","Sales Skills","Customer Experience Management is the collection of processes a company uses to track, oversee and organise every interaction between a customer and the organisation throughout the customer lifecycle.","client experience management;customer experience management (cxm);customer experience;customer experience management","",""
"5437","False","False","Illustration","Graphic Design and Animation","Illustration is the representation, or visual description of a text, idea, or method for use in print and digital media such as posters, flyers, magazines, books, instructional materials, animations, video games, and films.","illustration;illustrations","",""
"5438","False","False","NX Thermal","Computer-Aided Design and Simulation","NX Thermal is a robust and adaptable finite volume thermal analysis for conduction, convection, and radiation heat transport.","nx thermal;nx thermal fact sheet;nx thermal simulation","",""
